Date,Location,region,measureid,fractionid,viral_load,seven_day_rolling_avg,pruid
2020-11-06,Vancouver Annacis Island,Vancouver,covN2,solid,15.7641273759557,15.7641273759557,59
2020-11-08,Vancouver Annacis Island,Vancouver,covN2,solid,17.1076677633857,16.4358975696707,59
2020-11-12,Vancouver Annacis Island,Vancouver,covN2,solid,48.8471562025421,27.2396504472945,59
2020-11-15,Vancouver Annacis Island,Vancouver,covN2,solid,55.9856430518204,52.4163996271812,59
2020-11-19,Vancouver Annacis Island,Vancouver,covN2,solid,43.1994035710969,49.5925233114586,59
2020-11-22,Vancouver Annacis Island,Vancouver,covN2,solid,24.9404278608749,34.0699157159859,59
2020-11-26,Vancouver Annacis Island,Vancouver,covN2,solid,26.1513603246008,25.5458940927378,59
2020-11-29,Vancouver Annacis Island,Vancouver,covN2,solid,40.5416248061631,33.346492565382,59
2020-12-01,Vancouver Annacis Island,Vancouver,covN2,solid,44.1949979740826,36.9626610349488,59
2020-12-03,Vancouver Annacis Island,Vancouver,covN2,solid,50.5286041876541,45.0884089892999,59
2020-12-06,Vancouver Annacis Island,Vancouver,covN2,solid,42.8040890247567,45.8425637288311,59
2020-12-08,Vancouver Annacis Island,Vancouver,covN2,solid,10.155209393834,34.4959675354149,59
2020-12-10,Vancouver Annacis Island,Vancouver,covN2,solid,30.1166148039762,27.691971074189,59
2020-12-13,Vancouver Annacis Island,Vancouver,covN2,solid,23.3491687717305,21.2069976565136,59
2020-12-15,Vancouver Annacis Island,Vancouver,covN2,solid,55.1464154469046,36.2040663408704,59
2020-12-17,Vancouver Annacis Island,Vancouver,covN2,solid,27.4771856817776,35.3242566334709,59
2020-12-20,Vancouver Annacis Island,Vancouver,covN2,solid,7.84208611649744,30.1552290817265,59
2020-12-21,Vancouver Annacis Island,Vancouver,covN2,solid,11.0305193955789,25.3740516601896,59
2020-12-22,Vancouver Annacis Island,Vancouver,covN2,solid,8.97817093706966,13.8319905327309,59
2020-12-28,Vancouver Annacis Island,Vancouver,covN2,solid,74.3212392703412,41.6497051037054,59
2020-12-29,Vancouver Annacis Island,Vancouver,covN2,solid,32.0925721510926,53.2069057107169,59
2021-01-03,Vancouver Annacis Island,Vancouver,covN2,solid,30.3207697470816,45.5781937228385,59
2021-01-05,Vancouver Annacis Island,Vancouver,covN2,solid,27.8693394661896,29.0950546066356,59
2021-01-07,Vancouver Annacis Island,Vancouver,covN2,solid,14.1914924592375,24.1272005575029,59
2021-01-10,Vancouver Annacis Island,Vancouver,covN2,solid,21.697259136138,21.2526970205217,59
2021-01-12,Vancouver Annacis Island,Vancouver,covN2,solid,5.67101970051418,13.8532570986299,59
2021-01-14,Vancouver Annacis Island,Vancouver,covN2,solid,29.8980178987958,19.0887655784827,59
2021-01-17,Vancouver Annacis Island,Vancouver,covN2,solid,20.975285123151,18.8481075741537,59
2021-01-19,Vancouver Annacis Island,Vancouver,covN2,solid,12.4113648277523,21.0948892832331,59
2021-01-21,Vancouver Annacis Island,Vancouver,covN2,solid,21.408806783141,18.2651522446814,59
2021-01-24,Vancouver Annacis Island,Vancouver,covN2,solid,22.9948927885572,18.9383547998168,59
2021-01-26,Vancouver Annacis Island,Vancouver,covN2,solid,15.9914998878627,20.1317331531869,59
2021-01-28,Vancouver Annacis Island,Vancouver,covN2,solid,18.2378215910461,19.0747380891553,59
2021-01-31,Vancouver Annacis Island,Vancouver,covN2,solid,11.9574448569667,15.3955887786252,59
