date,week,rna_mean_faeces,ci_low_rna,ci_high_rna,lab
1/6/2022,2022-W01,7910.23,7364.7,8496.17,external
1/13/2022,2022-W02,7903.77,7334.86,8516.8,external
1/20/2022,2022-W03,12960.18,12086.92,13896.53,external
1/27/2022,2022-W04,18691.69,17666.36,19776.54,external
2/3/2022,2022-W05,20586.01,19584.23,21639.03,external
2/10/2022,2022-W06,31876.44,30328.21,33503.7,external
2/17/2022,2022-W07,25407.99,24167.29,26712.39,external
2/24/2022,2022-W08,23325.93,22192.66,24517.08,external
3/3/2022,2022-W09,17270.35,16331.76,18262.88,external
3/10/2022,2022-W10,12645.55,11795.44,13556.93,external
3/17/2022,2022-W11,10702.78,10036.32,11413.49,external
3/24/2022,2022-W12,8791.9,8103.49,9538.8,external
3/31/2022,2022-W13,5846.56,5396.87,6333.71,external
4/7/2022,2022-W14,3512.48,3270.67,3772.16,external
4/14/2022,2022-W15,4038.56,3688.44,4421.91,external
4/21/2022,2022-W16,2521.82,2249.11,2827.59,external
4/28/2022,2022-W17,1420.98,1274.94,1583.75,external
5/5/2022,2022-W18,578.53,515.21,649.63,external
5/12/2022,2022-W19,433.9,378.34,497.62,external
5/19/2022,2022-W20,514.92,462.02,573.88,external
5/26/2022,2022-W21,459.11,406.99,517.9,external
6/2/2022,2022-W22,551.03,495.23,613.11,external
6/9/2022,2022-W23,562.17,490.84,643.88,external
6/16/2022,2022-W24,1373.19,1217.6,1548.66,external
6/23/2022,2022-W25,2139.38,1939.24,2360.19,external
6/30/2022,2022-W26,1079.7,947.98,1229.72,external
7/7/2022,2022-W27,2802.54,2525.36,3110.15,external
7/14/2022,2022-W28,3585.34,3175.86,4047.61,external
7/21/2022,2022-W29,3328.25,2774.24,3992.89,external
7/28/2022,2022-W30,2734.56,2443.9,3059.79,external
8/4/2022,2022-W31,3270.87,2927.21,3654.88,external
8/11/2022,2022-W32,3444.48,2992.95,3964.14,external
8/18/2022,2022-W33,2321.06,2060.2,2614.94,external
8/25/2022,2022-W34,1960.05,1722.33,2230.58,external
9/1/2022,2022-W35,1425.85,1243.64,1634.76,external
9/8/2022,2022-W36,1546.48,1354.28,1765.95,external
9/15/2022,2022-W37,1270.24,1074.01,1502.33,external
9/22/2022,2022-W38,1677.55,1455.68,1933.24,external
9/29/2022,2022-W39,1899.22,1685.95,2139.47,external
10/6/2022,2022-W40,3470.21,3121.77,3857.55,external
10/13/2022,2022-W41,4010.43,3602.29,4464.82,external
10/20/2022,2022-W42,3268.76,2912.69,3668.36,external
10/27/2022,2022-W43,2403.86,2175.1,2656.68,external
11/3/2022,2022-W44,1394.7,1245.55,1561.72,external
11/10/2022,2022-W45,1227.74,1070.51,1408.05,external
11/17/2022,2022-W46,1179.76,1010.69,1377.11,external
11/24/2022,2022-W47,1784.43,1567.89,2030.87,external
