Wastewater Surveillance Viral Activity Level Over Time Data
Date generated: Tue Mar 05 2024 09:50:38 GMT-0500 (Eastern Standard Time)
Date,Viral Activity Level
2022-01-01,17.09
2022-01-08,23.34
2022-01-15,22.79
2022-01-22,19.4
2022-01-29,14.12
2022-02-05,9.16
2022-02-12,5.83
2022-02-19,3.72
2022-02-26,2.46
2022-03-05,1.62
2022-03-12,1.35
2022-03-19,1.13
2022-03-26,1.23
2022-04-02,1.17
2022-04-09,1.55
2022-04-16,2.03
2022-04-23,3.04
2022-04-30,3.86
2022-05-07,4.97
2022-05-14,5.56
2022-05-21,6.58
2022-05-28,7.14
2022-06-04,6.88
2022-06-11,6.64
2022-06-18,6.59
2022-06-25,7.01
2022-07-02,7.76
2022-07-09,9.16
2022-07-16,8.72
2022-07-23,9.3
2022-07-30,8.84
2022-08-06,7.83
2022-08-13,7.21
2022-08-20,6.81
2022-08-27,6.36
2022-09-03,5.66
2022-09-10,5.42
2022-09-17,5.01
2022-09-24,4.54
2022-10-01,3.7
2022-10-08,3.34
2022-10-15,3.34
2022-10-22,3.32
2022-10-29,3.91
2022-11-05,3.94
2022-11-12,3.96
2022-11-19,4.49
2022-11-26,5.25
2022-12-03,8.28
2022-12-10,8.24
2022-12-17,8.84
2022-12-24,9.29
2022-12-31,10.36
2023-01-07,8.15
2023-01-14,5.87
2023-01-21,5.4
2023-01-28,5.67
2023-02-04,6.03
2023-02-11,6.01
2023-02-18,6.18
2023-02-25,5.75
2023-03-04,5.13
2023-03-11,4.32
2023-03-18,4.47
2023-03-25,4.46
2023-04-01,3.38
2023-04-08,2.74
2023-04-15,2.71
2023-04-22,2.09
2023-04-29,1.84
2023-05-06,1.96
2023-05-13,1.89
2023-05-20,1.64
2023-05-27,1.49
2023-06-03,1.26
2023-06-10,1.11
2023-06-17,1.13
2023-06-24,1.12
2023-07-01,1.29
2023-07-08,1.51
2023-07-15,1.63
2023-07-22,1.9
2023-07-29,2.35
2023-08-05,2.83
2023-08-12,3.68
2023-08-19,3.94
2023-08-26,4.38
2023-09-02,5.08
2023-09-09,5.78
2023-09-16,5.17
2023-09-23,4.7
2023-09-30,4.38
2023-10-07,3.75
2023-10-14,3.31
2023-10-21,3.36
2023-10-28,3.39
2023-11-04,3.7
2023-11-11,4.08
2023-11-18,4.71
2023-11-25,5.15
2023-12-02,6.71
2023-12-09,7.33
2023-12-16,8.82
2023-12-23,10.38
2023-12-30,12.12
2024-01-06,11.22
2024-01-13,8.73
2024-01-20,7.05
2024-01-27,6.51
2024-02-03,5.65
2024-02-10,5.72
2024-02-17,5.39
2024-02-24,5.11
