Data Table for Currently Hospitalized COVID-19 Patients - The United States
Date generated: Tue Mar 05 2024 11:59:07 GMT-0500 (Eastern Standard Time)
Geography,Date,Currently Hospitalized COVID-19 Patients
United States,Feb 24 2024,15458.14
United States,Feb 17 2024,16862.71
United States,Feb 10 2024,18110.86
United States,Feb  3 2024,19889.14
United States,Jan 27 2024,22218.71
United States,Jan 20 2024,25428.29
United States,Jan 13 2024,28400.14
United States,Jan  6 2024,30013.43
United States,Dec 30 2023,26186.71
United States,Dec 23 2023,22566.86
United States,Dec 16 2023,20217
United States,Dec  9 2023,18927.43
United States,Dec  2 2023,17758.86
United States,Nov 25 2023,15579.86
United States,Nov 18 2023,14196.29
United States,Nov 11 2023,13333.57
United States,Nov  4 2023,12705.43
United States,Oct 28 2023,13241.71
United States,Oct 21 2023,13358.29
United States,Oct 14 2023,13814.86
United States,Oct  7 2023,14789.29
United States,Sep 30 2023,15731.71
United States,Sep 23 2023,15959.43
United States,Sep 16 2023,16420.14
United States,Sep  9 2023,16233.57
United States,Sep  2 2023,14754
United States,Aug 26 2023,12966
United States,Aug 19 2023,11247
United States,Aug 12 2023,9510
United States,Aug  5 2023,8155.29
United States,Jul 29 2023,6884.29
United States,Jul 22 2023,6164
United States,Jul 15 2023,5710.29
United States,Jul  8 2023,5421.43
United States,Jul  1 2023,5386
United States,Jun 24 2023,5545.57
United States,Jun 17 2023,5996.14
United States,Jun 10 2023,6418.29
United States,Jun  3 2023,6838
United States,May 27 2023,7164.29
United States,May 20 2023,7589.29
United States,May 13 2023,8277.29
United States,May  6 2023,8892.71
United States,Apr 29 2023,9724
United States,Apr 22 2023,11048.57
United States,Apr 15 2023,11931.57
United States,Apr  8 2023,13207.43
United States,Apr  1 2023,14516.43
United States,Mar 25 2023,15632.86
United States,Mar 18 2023,16923.86
United States,Mar 11 2023,18831.57
United States,Mar  4 2023,20719.86
United States,Feb 25 2023,22109.71
United States,Feb 18 2023,23075.29
United States,Feb 11 2023,23698.14
United States,Feb  4 2023,25159
United States,Jan 28 2023,27888.57
United States,Jan 21 2023,32003.57
United States,Jan 14 2023,37403.71
United States,Jan  7 2023,41213
United States,Dec 31 2022,36865.86
United States,Dec 24 2022,34219.57
United States,Dec 17 2022,32542.29
United States,Dec 10 2022,30931.71
United States,Dec  3 2022,28388.14
United States,Nov 26 2022,23028.86
United States,Nov 19 2022,21669.71
United States,Nov 12 2022,21697
United States,Nov  5 2022,21412.86
United States,Oct 29 2022,21379.57
United States,Oct 22 2022,21084.86
United States,Oct 15 2022,21160.86
United States,Oct  8 2022,21717.14
United States,Oct  1 2022,22689.14
United States,Sep 24 2022,24444
United States,Sep 17 2022,26478.57
United States,Sep 10 2022,28994.57
United States,Sep  3 2022,30553.43
United States,Aug 27 2022,32416.29
United States,Aug 20 2022,34207.71
United States,Aug 13 2022,36060.57
United States,Aug  6 2022,37383.43
United States,Jul 30 2022,37726.43
United States,Jul 23 2022,36823.57
United States,Jul 16 2022,34421.43
United States,Jul  9 2022,31211.14
United States,Jul  2 2022,28272
United States,Jun 25 2022,25908.86
United States,Jun 18 2022,24862.71
United States,Jun 11 2022,24001.43
United States,Jun  4 2022,22981.43
United States,May 28 2022,21150.43
United States,May 21 2022,19337
United States,May 14 2022,16008.57
United States,May  7 2022,13690.29
United States,Apr 30 2022,11807.14
United States,Apr 23 2022,10378.57
United States,Apr 16 2022,9758.43
United States,Apr  9 2022,9963.57
United States,Apr  2 2022,11067.29
United States,Mar 26 2022,13581.29
United States,Mar 19 2022,17198.71
United States,Mar 12 2022,23109.71
United States,Mar  5 2022,32252.71
United States,Feb 26 2022,44931.14
United States,Feb 19 2022,62813.14
United States,Feb 12 2022,84721
United States,Feb  5 2022,111462.14
United States,Jan 29 2022,133899.14
United States,Jan 22 2022,145627.86
United States,Jan 15 2022,141683.57
United States,Jan  8 2022,115851.57
United States,Jan  1 2022,81889.57
United States,Dec 25 2021,63330.57
United States,Dec 18 2021,61408.14
United States,Dec 11 2021,57743.43
United States,Dec  4 2021,51678.71
United States,Nov 27 2021,46057.29
United States,Nov 20 2021,43111
United States,Nov 13 2021,40515.29
United States,Nov  6 2021,40701.29
United States,Oct 30 2021,43608.71
United States,Oct 23 2021,47983.29
United States,Oct 16 2021,53757.14
United States,Oct  9 2021,60119.57
United States,Oct  2 2021,68383
United States,Sep 25 2021,78091.14
United States,Sep 18 2021,86061.86
United States,Sep 11 2021,92292.29
United States,Sep  4 2021,93582
United States,Aug 28 2021,91542.14
United States,Aug 21 2021,84094.57
United States,Aug 14 2021,71568.14
United States,Aug  7 2021,54952.57
United States,Jul 31 2021,39043.71
United States,Jul 24 2021,26532
United States,Jul 17 2021,18575
United States,Jul 10 2021,14159.29
United States,Jul  3 2021,12412.71
United States,Jun 26 2021,12121.29
United States,Jun 19 2021,13001.43
United States,Jun 12 2021,14732.29
United States,Jun  5 2021,17510
United States,May 29 2021,20861.57
United States,May 22 2021,23953.71
United States,May 15 2021,28014.71
United States,May  8 2021,32128.86
United States,May  1 2021,35603.29
United States,Apr 24 2021,38573
United States,Apr 17 2021,38240.14
United States,Apr 10 2021,36448.29
United States,Apr  3 2021,34444.43
United States,Mar 27 2021,33238.57
United States,Mar 20 2021,33334.29
United States,Mar 13 2021,35376.43
United States,Mar  6 2021,40338.86
United States,Feb 27 2021,48392.71
United States,Feb 20 2021,57306.57
United States,Feb 13 2021,70066.57
United States,Feb  6 2021,83835
United States,Jan 30 2021,98509.29
United States,Jan 23 2021,112763.29
United States,Jan 16 2021,121754.43
United States,Jan  9 2021,123660.57
United States,Jan  2 2021,117728
United States,Dec 26 2020,111487.71
United States,Dec 19 2020,107193.86
United States,Dec 12 2020,99978.29
United States,Dec  5 2020,93560
United States,Nov 28 2020,83695
United States,Nov 21 2020,73807
United States,Nov 14 2020,60255.71
United States,Nov  7 2020,47941.29
United States,Oct 31 2020,40779.43
United States,Oct 24 2020,35476.43
United States,Oct 17 2020,31118.71
United States,Oct 10 2020,27508.43
United States,Oct  3 2020,24735.29
United States,Sep 26 2020,23632
United States,Sep 19 2020,23434.86
United States,Sep 12 2020,25140.57
United States,Sep  5 2020,26987.29
United States,Aug 29 2020,29509.14
United States,Aug 22 2020,33308.86
United States,Aug 15 2020,35929
United States,Aug  8 2020,38406.57
United States,Aug  1 2020,N/A
United States,Jul 25 2020,N/A
United States,Jul 18 2020,N/A
United States,Jul 11 2020,N/A
United States,Jul  4 2020,N/A
United States,Jun 27 2020,N/A
United States,Jun 20 2020,N/A
United States,Jun 13 2020,N/A
United States,Jun  6 2020,N/A
United States,May 30 2020,N/A
United States,May 23 2020,N/A
United States,May 16 2020,N/A
United States,May  9 2020,N/A
United States,May  2 2020,N/A
United States,Apr 25 2020,N/A
United States,Apr 18 2020,N/A
United States,Apr 11 2020,N/A
United States,Apr  4 2020,N/A
United States,Mar 28 2020,N/A
United States,Mar 21 2020,N/A
United States,Mar 14 2020,N/A
United States,Mar  7 2020,N/A
United States,Feb 29 2020,N/A
United States,Feb 22 2020,N/A
United States,Feb 15 2020,N/A
United States,Feb  8 2020,N/A
United States,Feb  1 2020,N/A
United States,Jan 25 2020,N/A
United States,Jan 18 2020,N/A
United States,Jan 11 2020,N/A
