"variant","subvariant","var1","var2","correlation","lower_ci","upper_ci","n_obs","dataset"
"Omicron","BA.1","daily_cases","inf_mean",0.942139222066255,0.787109397369455,0.985208622579801,11,"usa by subvariant"
"Omicron","BA.1","inf_mean_7dts","inf_mean",0.99359279199826,0.974624285137961,0.998393754261235,11,"usa by subvariant"
"Omicron","BA.1","daily_cases_7dts","inf_mean",0.835967652686755,0.473573520156426,0.956288478043383,11,"usa by subvariant"
"Omicron","BA.1","viral_load","inf_mean",0.916998159399482,0.704843710287589,0.978575182014084,11,"usa by subvariant"
"Omicron","BA.1","hosp_current","inf_mean",0.610961445285129,0.0174875712766368,0.886088364118046,11,"usa by subvariant"
"Omicron","BA.1","hosp_new","inf_mean",0.781995762431389,0.343030114238884,0.940625686585815,11,"usa by subvariant"
"Omicron","BA.1","deaths","inf_mean",0.436742361436156,-0.221056318755449,0.821418490027337,11,"usa by subvariant"
"Omicron","BA.1","log_viral_load","inf_mean",0.853806181647075,0.520530267749386,0.961317796188253,11,"usa by subvariant"
"Omicron","BA.1","lead1_viral_load","inf_mean",0.99843433014088,0.993754267456813,0.999608209611959,11,"usa by subvariant"
"Omicron","BA.1","lead2_viral_load","inf_mean",0.988588790115682,0.955139319247026,0.997133892701996,11,"usa by subvariant"
"Omicron","BA.1","lead3_viral_load","inf_mean",0.955151190882989,0.831968744612698,0.988591861553415,11,"usa by subvariant"
"Omicron","BA.1","lead4_viral_load","inf_mean",0.920539159345859,0.716095158842852,0.979517270002073,11,"usa by subvariant"
"Omicron","BA.1","lag1_viral_load","inf_mean",0.818528500860164,0.389772536378255,0.955647392302305,10,"usa by subvariant"
"Omicron","BA.1","lag2_viral_load","inf_mean",0.716162611793656,0.0992280103100311,0.935395182992205,9,"usa by subvariant"
"Omicron","BA.1","lag3_viral_load","inf_mean",0.656868511361406,-0.0890169299755949,0.930730447766058,8,"usa by subvariant"
"Omicron","BA.1","lag4_viral_load","inf_mean",0.574653258941969,-0.314523058010066,0.926691689134415,7,"usa by subvariant"
"Omicron","BA.1","log_lag1_viral_load","inf_mean",0.766124573941626,0.263686981822483,0.941567294262912,10,"usa by subvariant"
"Omicron","BA.1","log_hosp","inf_mean",0.750289790473082,0.273509465490072,0.931098401057511,11,"usa by subvariant"
"Omicron","BA.1","log_inf","inf_mean",0.948695907351122,0.809510719356364,0.986917632090034,11,"usa by subvariant"
"Omicron","BA.1","log_cases","inf_mean",0.814017225236185,0.418488242533776,0.950000619643761,11,"usa by subvariant"
"Omicron","BA.1","inf_mean","daily_cases",0.942139222066255,0.787109397369455,0.985208622579801,11,"usa by subvariant"
"Omicron","BA.1","inf_mean_7dts","daily_cases",0.972301981817433,0.893664154921579,0.993000271434652,11,"usa by subvariant"
"Omicron","BA.1","daily_cases_7dts","daily_cases",0.964494616682641,0.865205696437206,0.991000605062865,11,"usa by subvariant"
"Omicron","BA.1","viral_load","daily_cases",0.991225617699076,0.965370834012043,0.997798360082995,11,"usa by subvariant"
"Omicron","BA.1","hosp_current","daily_cases",0.77790812896031,0.333788874249244,0.939411274132593,11,"usa by subvariant"
"Omicron","BA.1","hosp_new","daily_cases",0.909288812771858,0.68071115297831,0.976515142698659,11,"usa by subvariant"
"Omicron","BA.1","deaths","daily_cases",0.608341985205158,0.0133195950257312,0.885189355593828,11,"usa by subvariant"
"Omicron","BA.1","log_viral_load","daily_cases",0.910928295355178,0.685802021537148,0.976954265626549,11,"usa by subvariant"
"Omicron","BA.1","lead1_viral_load","daily_cases",0.958152864430319,0.84255093386346,0.989367565080233,11,"usa by subvariant"
"Omicron","BA.1","lead2_viral_load","daily_cases",0.884549362007327,0.606480890249645,0.969820363874186,11,"usa by subvariant"
"Omicron","BA.1","lead3_viral_load","daily_cases",0.804570275639391,0.395643924108037,0.947260095313638,11,"usa by subvariant"
"Omicron","BA.1","lead4_viral_load","daily_cases",0.742326260077262,0.256797211423813,0.928666050332368,11,"usa by subvariant"
"Omicron","BA.1","lag1_viral_load","daily_cases",0.880105756924435,0.561777303171644,0.971428219132863,10,"usa by subvariant"
"Omicron","BA.1","lag2_viral_load","daily_cases",0.732343080431477,0.13280626377943,0.939518497051913,9,"usa by subvariant"
"Omicron","BA.1","lag3_viral_load","daily_cases",0.584755694897059,-0.20397764541114,0.913155974356221,8,"usa by subvariant"
"Omicron","BA.1","lag4_viral_load","daily_cases",0.480849678875437,-0.426745779812908,0.905884419210865,7,"usa by subvariant"
"Omicron","BA.1","log_lag1_viral_load","daily_cases",0.804834111464392,0.355195275736375,0.952027446784783,10,"usa by subvariant"
"Omicron","BA.1","log_hosp","daily_cases",0.83832078934501,0.479651981483255,0.956956011970001,11,"usa by subvariant"
"Omicron","BA.1","log_inf","daily_cases",0.959747325055595,0.848208622772204,0.989778890486096,11,"usa by subvariant"
"Omicron","BA.1","log_cases","daily_cases",0.895222329035042,0.637921250276684,0.972724447324803,11,"usa by subvariant"
"Omicron","BA.1","inf_mean","inf_mean_7dts",0.99359279199826,0.974624285137961,0.998393754261235,11,"usa by subvariant"
"Omicron","BA.1","daily_cases","inf_mean_7dts",0.972301981817433,0.893664154921579,0.993000271434652,11,"usa by subvariant"
"Omicron","BA.1","daily_cases_7dts","inf_mean_7dts",0.891989078644056,0.628305329989963,0.971847246965704,11,"usa by subvariant"
"Omicron","BA.1","viral_load","inf_mean_7dts",0.955755563972335,0.834092237806624,0.98874818863078,11,"usa by subvariant"
"Omicron","BA.1","hosp_current","inf_mean_7dts",0.688279590843763,0.150561266929993,0.911723617224303,11,"usa by subvariant"
"Omicron","BA.1","hosp_new","inf_mean_7dts",0.843303304203571,0.492637095172002,0.958365313199831,11,"usa by subvariant"
"Omicron","BA.1","deaths","inf_mean_7dts",0.518726671867365,-0.11781880707496,0.853135163099378,11,"usa by subvariant"
"Omicron","BA.1","log_viral_load","inf_mean_7dts",0.895196202999942,0.637843226682242,0.972717368046019,11,"usa by subvariant"
"Omicron","BA.1","lead1_viral_load","inf_mean_7dts",0.997973238186823,0.991920462838816,0.999492739045956,11,"usa by subvariant"
"Omicron","BA.1","lead2_viral_load","inf_mean_7dts",0.96572144880648,0.869635632649733,0.991315613631453,11,"usa by subvariant"
"Omicron","BA.1","lead3_viral_load","inf_mean_7dts",0.916807981752271,0.70424243057057,0.978524511919603,11,"usa by subvariant"
"Omicron","BA.1","lead4_viral_load","inf_mean_7dts",0.872508295190604,0.572024481479501,0.966514719881742,11,"usa by subvariant"
